filename,processed_at
../storage/app/private/issues/SPARK/SPARK-12510.json,2025-11-11 23:48:37
../storage/app/private/issues/SPARK/SPARK-9015.json,2025-11-11 23:49:04
../storage/app/private/issues/SPARK/SPARK-19238.json,2025-11-11 23:49:11
../storage/app/private/issues/SPARK/SPARK-13528.json,2025-11-11 23:49:35
../storage/app/private/issues/SPARK/SPARK-31659.json,2025-11-11 23:49:43
../storage/app/private/issues/SPARK/SPARK-36567.json,2025-11-11 23:50:24
../storage/app/private/issues/SPARK/SPARK-11375.json,2025-11-11 23:50:27
../storage/app/private/issues/SPARK/SPARK-6982.json,2025-11-11 23:50:30
../storage/app/private/issues/SPARK/SPARK-25117.json,2025-11-11 23:50:48
../storage/app/private/issues/SPARK/SPARK-1668.json,2025-11-11 23:51:09
../storage/app/private/issues/SPARK/SPARK-51096.json,2025-11-11 23:51:21
../storage/app/private/issues/SPARK/SPARK-31709.json,2025-11-11 23:51:52
../storage/app/private/issues/SPARK/SPARK-30695.json,2025-11-11 23:52:10
../storage/app/private/issues/SPARK/SPARK-17276.json,2025-11-11 23:52:18
../storage/app/private/issues/SPARK/SPARK-37341.json,2025-11-11 23:52:23
../storage/app/private/issues/SPARK/SPARK-35143.json,2025-11-11 23:53:57
../storage/app/private/issues/SPARK/SPARK-722.json,2025-11-11 23:53:58
../storage/app/private/issues/SPARK/SPARK-7526.json,2025-11-11 23:54:01
../storage/app/private/issues/SPARK/SPARK-50042.json,2025-11-11 23:54:06
../storage/app/private/issues/SPARK/SPARK-4992.json,2025-11-11 23:54:08
../storage/app/private/issues/SPARK/SPARK-48896.json,2025-11-11 23:54:19
../storage/app/private/issues/SPARK/SPARK-17379.json,2025-11-11 23:54:30
../storage/app/private/issues/SPARK/SPARK-36418.json,2025-11-11 23:54:59
../storage/app/private/issues/SPARK/SPARK-47620.json,2025-11-11 23:55:02
../storage/app/private/issues/SPARK/SPARK-1434.json,2025-11-11 23:55:04
../storage/app/private/issues/SPARK/SPARK-31012.json,2025-11-11 23:55:09
../storage/app/private/issues/SPARK/SPARK-12910.json,2025-11-11 23:55:23
../storage/app/private/issues/SPARK/SPARK-38337.json,2025-11-11 23:55:32
../storage/app/private/issues/SPARK/SPARK-19100.json,2025-11-11 23:55:34
../storage/app/private/issues/SPARK/SPARK-19088.json,2025-11-11 23:56:21
../storage/app/private/issues/SPARK/SPARK-23573.json,2025-11-11 23:56:23
../storage/app/private/issues/SPARK/SPARK-10481.json,2025-11-11 23:56:30
../storage/app/private/issues/SPARK/SPARK-39651.json,2025-11-11 23:57:10
../storage/app/private/issues/SPARK/SPARK-1192.json,2025-11-11 23:58:28
../storage/app/private/issues/SPARK/SPARK-31766.json,2025-11-11 23:58:31
../storage/app/private/issues/SPARK/SPARK-2735.json,2025-11-11 23:58:36
../storage/app/private/issues/SPARK/SPARK-1398.json,2025-11-11 23:58:38
../storage/app/private/issues/SPARK/SPARK-52109.json,2025-11-11 23:59:04
../storage/app/private/issues/SPARK/SPARK-11212.json,2025-11-11 23:59:18
../storage/app/private/issues/SPARK/SPARK-14894.json,2025-11-11 23:59:40
../storage/app/private/issues/SPARK/SPARK-23249.json,2025-11-11 23:59:52
../storage/app/private/issues/SPARK/SPARK-22461.json,2025-11-12 00:00:07
../storage/app/private/issues/SPARK/SPARK-46154.json,2025-11-12 00:00:13
../storage/app/private/issues/SPARK/SPARK-11113.json,2025-11-12 00:00:15
../storage/app/private/issues/SPARK/SPARK-39823.json,2025-11-12 00:00:46
../storage/app/private/issues/SPARK/SPARK-53329.json,2025-11-12 00:01:05
../storage/app/private/issues/SPARK/SPARK-3642.json,2025-11-12 00:01:08
../storage/app/private/issues/SPARK/SPARK-39466.json,2025-11-12 00:01:10
../storage/app/private/issues/SPARK/SPARK-13762.json,2025-11-12 00:01:12
../storage/app/private/issues/SPARK/SPARK-33951.json,2025-11-12 00:02:54
../storage/app/private/issues/SPARK/SPARK-6953.json,2025-11-12 00:03:31
../storage/app/private/issues/SPARK/SPARK-3389.json,2025-11-12 00:03:40
../storage/app/private/issues/SPARK/SPARK-35354.json,2025-11-12 00:03:43
../storage/app/private/issues/SPARK/SPARK-46921.json,2025-11-12 00:03:46
../storage/app/private/issues/SPARK/SPARK-32282.json,2025-11-12 00:04:25
../storage/app/private/issues/SPARK/SPARK-22408.json,2025-11-12 00:04:28
../storage/app/private/issues/SPARK/SPARK-5536.json,2025-11-12 00:04:54
../storage/app/private/issues/SPARK/SPARK-20738.json,2025-11-12 00:05:04
../storage/app/private/issues/SPARK/SPARK-12221.json,2025-11-12 00:05:36
../storage/app/private/issues/SPARK/SPARK-14871.json,2025-11-12 00:05:39
../storage/app/private/issues/SPARK/SPARK-24269.json,2025-11-12 00:05:41
../storage/app/private/issues/SPARK/SPARK-26435.json,2025-11-12 00:05:54
../storage/app/private/issues/SPARK/SPARK-15110.json,2025-11-12 00:06:28
../storage/app/private/issues/SPARK/SPARK-35986.json,2025-11-12 00:06:31
../storage/app/private/issues/SPARK/SPARK-6916.json,2025-11-12 00:06:33
../storage/app/private/issues/SPARK/SPARK-16769.json,2025-11-12 00:06:35
../storage/app/private/issues/SPARK/SPARK-3055.json,2025-11-12 00:06:37
../storage/app/private/issues/SPARK/SPARK-13569.json,2025-11-12 00:06:48
../storage/app/private/issues/SPARK/SPARK-45521.json,2025-11-12 00:06:51
../storage/app/private/issues/SPARK/SPARK-22342.json,2025-11-12 00:07:05
../storage/app/private/issues/SPARK/SPARK-3064.json,2025-11-12 00:07:07
../storage/app/private/issues/SPARK/SPARK-6346.json,2025-11-12 00:07:09
../storage/app/private/issues/SPARK/SPARK-46055.json,2025-11-12 00:07:25
../storage/app/private/issues/SPARK/SPARK-50444.json,2025-11-12 00:07:33
../storage/app/private/issues/SPARK/SPARK-20118.json,2025-11-12 00:07:35
../storage/app/private/issues/SPARK/SPARK-26362.json,2025-11-12 00:07:50
../storage/app/private/issues/SPARK/SPARK-22847.json,2025-11-12 00:07:54
../storage/app/private/issues/SPARK/SPARK-2149.json,2025-11-12 00:08:03
../storage/app/private/issues/SPARK/SPARK-20245.json,2025-11-12 00:08:11
../storage/app/private/issues/SPARK/SPARK-2086.json,2025-11-12 00:09:40
../storage/app/private/issues/SPARK/SPARK-9360.json,2025-11-12 00:09:48
../storage/app/private/issues/SPARK/SPARK-917.json,2025-11-12 00:09:50
../storage/app/private/issues/SPARK/SPARK-47293.json,2025-11-12 00:09:52
../storage/app/private/issues/SPARK/SPARK-27046.json,2025-11-12 00:09:55
../storage/app/private/issues/SPARK/SPARK-15738.json,2025-11-12 00:10:06
../storage/app/private/issues/SPARK/SPARK-49002.json,2025-11-12 00:10:17
../storage/app/private/issues/SPARK/SPARK-33315.json,2025-11-12 00:10:44
../storage/app/private/issues/SPARK/SPARK-36573.json,2025-11-12 00:10:53
../storage/app/private/issues/SPARK/SPARK-6223.json,2025-11-12 00:10:56
../storage/app/private/issues/SPARK/SPARK-32903.json,2025-11-12 00:11:05
../storage/app/private/issues/SPARK/SPARK-19717.json,2025-11-12 00:11:06
../storage/app/private/issues/SPARK/SPARK-11421.json,2025-11-12 00:11:56
../storage/app/private/issues/SPARK/SPARK-53967.json,2025-11-12 00:12:05
../storage/app/private/issues/SPARK/SPARK-14338.json,2025-11-12 00:12:10
../storage/app/private/issues/SPARK/SPARK-35041.json,2025-11-12 00:12:18
../storage/app/private/issues/SPARK/SPARK-25026.json,2025-11-12 00:12:24
../storage/app/private/issues/SPARK/SPARK-39749.json,2025-11-12 00:12:31
../storage/app/private/issues/SPARK/SPARK-50973.json,2025-11-12 00:12:45
../storage/app/private/issues/SPARK/SPARK-11926.json,2025-11-12 00:12:53
../storage/app/private/issues/SPARK/SPARK-19233.json,2025-11-12 00:12:55
../storage/app/private/issues/SPARK/SPARK-33159.json,2025-11-12 00:13:01
../storage/app/private/issues/SPARK/SPARK-31487.json,2025-11-12 00:13:03
../storage/app/private/issues/SPARK/SPARK-24837.json,2025-11-12 00:13:05
../storage/app/private/issues/SPARK/SPARK-4736.json,2025-11-12 00:13:10
../storage/app/private/issues/SPARK/SPARK-2418.json,2025-11-12 00:14:32
../storage/app/private/issues/SPARK/SPARK-43490.json,2025-11-12 00:15:40
../storage/app/private/issues/SPARK/SPARK-13551.json,2025-11-12 00:15:43
../storage/app/private/issues/SPARK/SPARK-38368.json,2025-11-12 00:15:44
../storage/app/private/issues/SPARK/SPARK-9626.json,2025-11-12 00:15:46
../storage/app/private/issues/SPARK/SPARK-2035.json,2025-11-12 00:16:24
../storage/app/private/issues/SPARK/SPARK-39049.json,2025-11-12 00:16:30
../storage/app/private/issues/SPARK/SPARK-8997.json,2025-11-12 00:16:47
../storage/app/private/issues/SPARK/SPARK-39057.json,2025-11-12 00:17:20
../storage/app/private/issues/SPARK/SPARK-30386.json,2025-11-12 00:17:22
../storage/app/private/issues/SPARK/SPARK-25282.json,2025-11-12 00:17:24
../storage/app/private/issues/SPARK/SPARK-6283.json,2025-11-12 00:17:25
../storage/app/private/issues/SPARK/SPARK-15641.json,2025-11-12 00:17:33
../storage/app/private/issues/SPARK/SPARK-52065.json,2025-11-12 00:17:49
../storage/app/private/issues/SPARK/SPARK-20944.json,2025-11-12 00:17:53
../storage/app/private/issues/SPARK/SPARK-5158.json,2025-11-12 00:18:48
../storage/app/private/issues/SPARK/SPARK-42895.json,2025-11-12 00:19:02
../storage/app/private/issues/SPARK/SPARK-28987.json,2025-11-12 00:19:03
../storage/app/private/issues/SPARK/SPARK-49076.json,2025-11-12 00:19:08
../storage/app/private/issues/SPARK/SPARK-14974.json,2025-11-12 00:19:12
../storage/app/private/issues/SPARK/SPARK-45606.json,2025-11-12 00:19:15
../storage/app/private/issues/SPARK/SPARK-6199.json,2025-11-12 00:20:18
../storage/app/private/issues/SPARK/SPARK-25415.json,2025-11-12 00:20:28
../storage/app/private/issues/SPARK/SPARK-46787.json,2025-11-12 00:20:40
../storage/app/private/issues/SPARK/SPARK-27343.json,2025-11-12 00:20:43
../storage/app/private/issues/SPARK/SPARK-50801.json,2025-11-12 00:20:45
../storage/app/private/issues/SPARK/SPARK-49636.json,2025-11-12 00:20:57
../storage/app/private/issues/SPARK/SPARK-14054.json,2025-11-12 00:20:58
../storage/app/private/issues/SPARK/SPARK-19304.json,2025-11-12 00:21:15
../storage/app/private/issues/SPARK/SPARK-40376.json,2025-11-12 00:21:29
